Codigo;Dscricao
010101;análise de sistemas
010102;desenvolvimento de sistemas
010104;geração de programa de computador sob encomenda
010201;programação
010302;provimento de acesso à internet
010303;provimento de voz sobre internet
010304;provimento de conteúdo para a internet
010305;provimento de serviço de aplicação
010307;serviços de data center, parque tecnológico ou congêneres
010308;processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres
010309;armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres
010401;elaboração de programa de computadores
010402;elaboração de jogo eletrônico
010403;elaboração de programa de computador sob encomenda, não derivado de software preexistente, cujo desenvolvimento se dê integralmente no Brasil e cujos direitos autorais permaneçam reservados ao contratante do serviço, desde que atendidos os demais requisitos previstos no art 8° da Instrução Normativa SMF n° 16, de 02 de julho de 2012
010501;licenciamento de uso de programa de computação
010502;cessão de direito de uso de programa de computação
010601;assessoria ou consultoria em informática
010701;suporte técnico em informática
010702;instalação e/ou configuração de programa de computação e/ou banco de dados
010703;manutenção de programa de computação e/ou banco de dados
010704;customização de programa de computador
010705;atualização de software
010801;projeto de páginas eletrônicas
010802;confecção ou desenvolvimento de páginas eletrônicas
010803;manutenção e/ou atualização de páginas eletrônicas
010901;disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem ou texto por meio da internet, para pessoas jurídicas
010902;disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem ou texto por meio da internet, para pessoas naturais
020101;pesquisa e desenvolvimento (P&D)
020102;pesquisa de mercado ou de opinião pública
020103;pesquisa de opinião pública
020104;pesquisa de mercado
020105;desenvolvimento de projetos de créditos de carbono
030201;cessão de direito de uso de sinais de propaganda
030202;cessão de direito de uso de marca
030204;serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, exclusivamente vinculados a filme brasileiro, natural ou de enredo
030205;serviços relativos à indústria cinematográfica, correspondentes a receitas de licenciamento para exibição da obra cinematográfica, vinculados a filme estrangeiro
030206;serviços prestados mediante locação, cessão de direito de uso e congêneres, não especificados em outros códigos, exceto locação de bens móveis pura e simples, nos termos da Instrução Normativa SMF N° 15, de 12/01/2012
030301;exploração de salão de festas
030302;exploração de centro de convenções
030303;exploração de escritório virtual
030304;exploração de stand
030305;exploração de quadra esportiva
030306;exploração de estádio
030307;exploração de ginásio
030308;exploração de auditório
030309;exploração de casa de espetáculos
030310;exploração de parque de diversões
030311;exploração de cancha, campo para prática esportiva, pista para corrida de animais e congêneres
030401;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovias
030402;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de rodovias
030403;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de postes
030404;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de cabos
030405;locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de dutos ou condutos de qualquer natureza
030406;locação, sublocação ou arrendamento de condutos em geral
030407;cessão de direitos sobre ferrovia
030408;cessão de direitos sobre rodovia
030409;cessão de direitos sobre postes
030410;cessão de direitos sobre cabos
030411;cessão de direitos sobre dutos
030412;cessão de direitos sobre condutos em geral
030501;cessão de andaimes
030502;cessão de palco
030503;cessão de estrutura de uso temporário
040101;medicina
040102;biomedicina
040201;análises clínicas, patologia ou congênere
040202;eletricidade médica ou congênere
040203;radioterapia ou congênere
040204;quimioterapia ou congênere
040205;ultrassonografia, ressonância magnética, radiologia, tomografia ou congênere
040206;hemoterapia
040207;litotripsia
040208;exames médicos e de saúde em geral
040301;serviços prestados por hospital
040302;Serviços de saúde ou de assistência médica prestados por hospital apto a efetuar internações
040303;serviços prestados por clínica
040304;Serviços de saúde ou de assistência médica prestados por clínica apta a efetuar internações
040305;serviços de laboratório
040306;serviços prestados por sanatório
040307;Serviços de saúde ou de assistência médica prestados por sanatório apto a efetuar internações
040308;serviços prestados por manicômio
040309;Serviços de saúde ou de assistência médica prestados por manicômio apto a efetuar internações
040310;serviços prestados por casa de saúde
040311;Serviços de saúde ou de assistência médica prestados por casa de saúde apta a efetuar internações
040312;serviços prestados por pronto-socorro
040313;Serviços de saúde ou de assistência médica prestados por pronto-socorro apto a efetuar internações
040314;serviços prestados por ambulatórios
040315;serviços prestados por posto de vacinação
040401;instrumentação cirúrgica
040501;acupuntura
040601;enfermagem
040602;enfermagem - serviços auxiliares
