Codigo;Descricao
101;Serviços de construção
10101;Serviços de construção de edificações
101011;Serviços de construção de edificações residenciais
101011100;Serviços de construção de edificações residenciais de um e dois pavimentos
101011200;Serviços de construção de edificações residenciais com mais de dois pavimentos
101012;Serviços de construção de edificações não residenciais
101012100;Serviços de construção de edificações industriais 
101012200;Serviços de construção de edificações comerciais
101012900;Serviços de construção de edificações não residenciais não classificados em subposições anteriores
101013000;Serviços de construção de edificações de uso misto (residencial e não residencial)
10102;Serviços de construção de obras de engenharia civil
101021;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas, estradas, estradas férreas, pistas de pouso e de decolagem em aeroportos e infraestrutura aeroportuária
101021100;Serviços de construção de autoestradas (exceto autoestradas elevadas), ruas e estradas
101021200;Serviços de construção de ferrovias
101021300;Serviços de construção de pistas de pouso e decolagem em aeroportos e de infraestrutura aeroportuária
101022000;Serviços de construção de pontes, autoestradas elevadas e túneis
101023;Serviços de construção de portos, vias navegáveis, represas, irrigação e outras obras hídricas
101023100;Serviços de construção de infraestrutura de proteção e acesso aquaviário 
101023200;Serviços de construção de infraestrutura de acostagem aquaviária
101023300;Serviços de construção de infraestrutura terrestre e de obras de engenharia afins nos portos
101023400;Serviços de construção de barragens
1010235;Serviços de construção de adutoras em conduto livre, de sistemas de irrigação e relacionados ao controle dos cursos de água 
101023510;Serviços de construção de adutoras em conduto livre
101023520;Serviços de construção de sistemas de irrigação 
101023530;Serviços de construção relacionada ao controle dos cursos de água, inclusive canalização 
101024;Serviços de construção de dutos e de linhas de comunicação, ambos de longo curso, e de linhas de transmissão de alta tensão
1010241;Serviços de construção de dutos de longo curso
101024110;Serviços de construção de dutos de longo curso para o transporte de petróleo, seus derivados, e gás
101024120;Serviços de construção de dutos de longo curso para o transporte e escoamento de águas
101024190;Serviços de construção de dutos de longo curso não classificados em subposições anteriores
1010242;Serviços de construção de linhas de comunicação de longo curso e linhas de transmissão de alta tensão
101024210;Serviços de construção de linhas de comunicação de longo curso 
101024220;Serviços de construção de linhas de transmissão de alta tensão
101025;Serviços de construção de dutos locais e de linhas locais de comunicação e de transmissão de baixa e média tensão e outros serviços de construção relacionados
101025100;Serviços de construção de dutos locais
1010252;Serviços de construção de linhas locais de comunicação e de transmissão de baixa e média tensão e outros serviços de construção relacionados
101025210;Serviços de construção de linhas locais de comunicação
101025220;Serviços de construção de linhas locais de transmissão de baixa e média tensão 
1010253;Serviços de construção de sistemas de esgotos e de sistemas de estações para elevação, tratamento e purificação de água
101025310;Serviços de construção de sistemas de esgotos
101025320;Serviços de construção de sistemas de estações para elevação, tratamento e purificação de água
101026;Serviços de construção de instalações industriais 
101026100;Serviços de construção de usinas de geração de energia
101026900;Serviços de construção de instalações industriais não classificados em subposições anteriores
101027000;Serviços de construção de minas e suas unidades industriais
101028000;Serviços de construção de instalações para recreação e atividades desportivas ao ar livre
101029000;Serviços de construção de obras de engenharia civil não classificados em subposições anteriores
10103;Serviços de preparação do local da obra
101031000;Serviços de demolição
101032000;Serviços de preparação de terrenos e de canteiros de obras
101033000;Serviços de escavação e remoção de terra
101034;Serviços de perfuração de poços de água e de instalação de sistemas sépticos
101034100;Serviços de perfuração de poços de água
101034200;Serviços de instalação de sistemas sépticos
101040000;Serviços de montagem e de edificação de construções pré-fabricadas
10105;Serviços especializados de construção
101051;Serviços de estaqueamento e de fundação
101051100;Serviços de estaqueamento
101051200;Serviços de fundação
101052;Serviços de construção de estruturas
101052100;Serviços de construção de estruturas de edificações
101052200;Serviços de construção de estruturas de telhados e coberturas
101053000;Serviços de construção de telhados e coberturas e serviços de impermeabilização
101054000;Serviços de concretagem
101055000;Serviços de montagem de estruturas de aço
101056000;Serviços de alvenaria
101057000;Serviços de andaimes
101059000;Serviços especializados de construção não classificados em subposições anteriores
10106;Serviços de instalação 
101061;Serviços de instalação elétrica
101061100;Serviços de instalação de fiação elétrica e componentes 
101061200;Serviços de instalação de alarmes contra incêndio
101061300;Serviços de instalação de sistemas de alarmes antifurto
101061400;Serviços de instalação de antenas residenciais
101061900;Serviços de instalação elétrica não classificados em subposições anteriores
101062;Serviços de instalação de tubulação para fornecimento e escoamento de água
101062100;Serviços de instalação de tubulação para fornecimento de água
101062200;Serviços de instalação de tubulação para escoamento de água
101063;Serviços de instalação de equipamentos de aquecimento, de ventilação e de ar condicionado
101063100;Serviços de instalação de equipamentos de aquecimento
101063200;Serviços de instalação de equipamentos de ventilação e de ar condicionado
101064000;Serviços de instalação de gás
101065000;Serviços de instalação de isolamentos
101066000;Serviços de instalação de elevadores, esteiras e escadas rolantes
101069000;Serviços de instalação não classificados em subposições anteriores
10107;Serviços de acabamento
101071000;Serviços de vidraçaria
101072000;Serviços de gesso e de estuque
101073000;Serviços de pintura
101074000;Serviços de revestimento de pisos e de paredes
101075000;Serviços de carpintaria e de serralharia
101076000;Serviços de instalação de cercas e grades
101079000;Serviços de acabamento não classificados em subposições anteriores
102;Serviços de intermediação na distribuição de mercadorias; serviços de despacho aduaneiro; comércio
102010000;Serviços de intermediação na distribuição de mercadorias
102020000;Comércio atacadista
102030000;Comércio varejista
102040000;Serviços de despacho aduaneiro
102050000;Serviços de intermediação na comercialização de energia elétrica
103;Fornecimento de alimentação e bebidas e serviços de hospedagem
10301;Fornecimento de alimentação, incluindo refeições
103011000;Fornecimento de refeições acompanhado de serviços de restaurante
103012;Fornecimento de refeições com serviços limitados de restaurante
103012100;Fornecimento de refeições pelo sistema de autosserviço (self-service)
103012200;Fornecimento de comidas rápidas (fast-food)
103012900;Fornecimento de refeições com serviços limitados de restaurante não classificado em subposições anteriores
103013;Fornecimento de alimentação, incluindo refeições, sob contrato
103013100;Fornecimento de alimentação para eventos
103013200;Fornecimento de alimentação para operadores de transportes (comissaria ou catering)
103013900;Fornecimento de alimentação, incluindo refeições, sob contrato não classificado em subposições anteriores
103019000;Fornecimento de alimentação não classificado em subposições anteriores
103020000;Fornecimento de bebidas em bares, cervejarias e outros
10303;Serviços de hospedagem para visitantes
103031;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes
103031100;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, com serviços diários de faxina
103031200;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, sem serviços diários de faxina
103031300;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em propriedades partilhadas
103031400;Serviços de hospedagem em quartos ou unidades de hospedagem para visitantes, em quartos de múltipla ocupação
103032000;Serviços de acampamentos turísticos (camping)
103039000;Serviços de hospedagem para visitantes não classificados em subposições anteriores
10304;Serviços de hospedagem, exceto para visitantes
103041000;Serviços de hospedagem em quartos ou unidades de hospedagem para estudantes em residências estudantis
103042000;Serviços de hospedagem em quartos ou unidades de hospedagem para trabalhadores em hotéis ou campos
103049000;Serviços de hospedagem, exceto para visitantes não classificados em subposições anteriores
104;Serviços de transporte de passageiros
10401;Serviços de transporte local de passageiros
104011;Serviços de transporte terrestre local de passageiros
1040111;Serviços de transporte rodoviário local regular de passageiros
10401111;Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas
104011111;Serviços de transporte rodoviário local prestados exclusivamente por meio de ônibus
104011119;Serviços de transporte rodoviário local regular de passageiros, exceto em áreas metropolitanas não classificados em subitens anteriores
104011120;Serviços de transporte rodoviário local regular de passageiros, em áreas metropolitanas 
1040112;Serviços especiais de transporte rodoviário local regular de passageiros
104011210;Serviços de transporte escolar
104011220;Serviços de transporte para aeroportos (shuttle)
104011290;Serviços especiais de transporte rodoviário local regular de passageiros não classificados em itens anteriores
104011300;Serviços de táxi
104011400;Serviços de carro com motorista, exceto táxi
1040115;Serviços de transporte rodoviário local de passageiros por fretamento
104011510;Serviços de fretamento contínuo, local
104011520;Serviços de fretamento eventual ou turístico, local
1040116;Serviços de transporte local de passageiros por veículos sobre trilhos
104011610;Serviços de transporte ferroviário local de passageiros
104011620;Serviços de transporte metroviário (metrô) local de passageiros
104011690;Serviços de transporte local de passageiros por veículos sobre trilhos não classificados em itens anteriores
1040117;Serviços de transporte terrestre para passeios turísticos (sightseeing)
104011710;Serviços de transporte rodoviário para passeios turísticos (sightseeing)
104011720;Serviços de transporte ferroviário para passeios turísticos (sightseeing)
104011790;Serviços de transporte terrestre para passeios turísticos (sightseeing) não classificados em itens anteriores
104011900;Serviços de transporte terrestre local de passageiros não classificados em subposições anteriores
104012;Serviços de transporte aquaviário local de passageiros
1040121;Serviços de transporte aquaviário local de passageiros, por navegação interior
104012110;Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para travessia
104012120;Serviços de transporte aquaviário local de passageiros, por navegação interior, em embarcações para cruzeiros
104012190;Serviços de transporte aquaviário local de passageiros, por navegação interior não classificados em itens anteriores
104012200;Serviços de transporte aquaviário local de passageiros por fretamento 
104012300;Serviços de transporte aquaviário para passeios turísticos (sightseeing)
104012900;Serviços de transporte aquaviário local de passageiros não classificados em subposições anteriores
104013000;Serviços de transporte integrado local de passageiros
104014;Serviços de transporte aéreo local de passageiros
104014100;Serviços de táxi aéreo local
104014200;Serviços de transporte aéreo local de passageiros por fretamento
104014300;Serviços de transporte aéreo para passeios turísticos (sightseeing)
104014900;Serviços de transporte aéreo local de passageiros não classificados em subposições anteriores
104019000;Serviços de transporte local de passageiros não classificados não classificados em subposições anteriores
10402;Serviços de transporte nacional, exceto local, de passageiros
104021;Serviços de transporte terrestre nacional, exceto local, de passageiros
1040211;Serviços de transporte rodoviário nacional, exceto local, regular de passageiros
104021110;Serviços de transporte rodoviário nacional, exceto local, prestados exclusivamente por meio de ônibus
104021190;Serviços de transporte rodoviário nacional, exceto local, de passageiros, não classificados não classificados em subitens anteriores
