 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
01.01.00	-         	Análise E Desenvolvimento De Sistemas.	---	2.00		01/2026	12/2026	0101
01.02.00	-         	Programação.	---	2.00		01/2026	12/2026	0102
01.03.00	-         	Processamento, Armazenamento Ou Hospedagem De Dados, Textos, Imagens, Vídeos, Páginas Eletrônicas, Aplicativos E Sistemas De Informação, Entre Outros Formatos, E Congêneres.	---	2.00		01/2026	12/2026	0103
01.04.00	-         	Elaboração De Programas De Computadores, Inclusive De Jogos Eletrônicos, Independentemente Da Arquitetura Construtiva Da Máquina Em Que O Programa Será Executado, Incluindo Tablets, Smartphones E Congêneres.	---	2.00		01/2026	12/2026	0104
01.05.00	-         	Licenciamento Ou Cessão De Direito De Uso De Programas De Computação.	---	2.00		01/2026	12/2026	0105
01.06.00	-         	Assessoria E Consultoria Em Informática.	---	2.00		01/2026	12/2026	0106
01.07.00	-         	Suporte Técnico Em Informática, Inclusive Instalação, Configuração E Manutenção De Programas De Computação E Bancos De Dados.	---	2.00		01/2026	12/2026	0107
01.08.01	-         	Planejamento, Confecção, Manutenção E Atualização De Páginas Eletrônicas.	---	2.00		01/2026	12/2026	0108
01.08.02	-         	Provedor De Internet	---	2.00		01/2026	12/2026	0108
01.09.00	-         	Disponibilização, Sem Cessão Definitiva, De Conteúdos De Áudio, Vídeo, Imagem E Texto Por Meio Da Internet, Respeitada A Imunidade De Livros, Jornais E Periódicos (Exceto A Distribuição De Conteúdos Pelas Prestadoras De Serviço De Acesso Condicionado, De Que Trata A Lei No 12.485, De 12 De Setembro De 2011, Sujeita Ao Icms).	---	2.00		01/2026	12/2026	0109
02.01.00	-         	Serviços De Pesquisas E Desenvolvimento De Qualquer Natureza.	---	3.50		01/2026	12/2026	0201
03.01.00	-         	(Vetado)	---	0.00		01/2026	12/2026	0301
03.02.00	-         	Cessão De Direito De Uso De Marcas E De Sinais De Propaganda.	---	2.00		01/2026	12/2026	0302
03.03.01	-         	Exploração De Salões De Festas, Para Realização De Eventos Ou Negócios De Qualquer Natureza.	---	4.00		01/2026	12/2026	0303
03.03.02	-         	Exploração De Centro De Convenções, Escritórios Virtuais, Stands, Para Realização De Eventos Ou Negócios De Qualquer Natureza.	---	4.00		01/2026	12/2026	0303
03.03.03	-         	Exploração De Quadras Esportivas, Estádios, Ginásios, Canchas E Congêneres, Para Realização De Eventos Ou Negócios De Qualquer Natureza.	---	4.00		01/2026	12/2026	0303
03.03.04	-         	Exploração De Auditórios, Casas De Espetáculos, Para Realização De Eventos Ou Negócios De Qualquer Natureza.	---	4.00		01/2026	12/2026	0303
03.03.05	-         	Exploração De Parques De Diversões, Para Realização De Eventos Ou Negócios De Qualquer Natureza.	---	4.00		01/2026	12/2026	0303
03.04.00	-         	Locação, Sublocação, Arrendamento, Direito De Passagem Ou Permissão De Uso, Compartilhado Ou Não, De Ferrovia, Rodovia, Postes, Cabos, Dutos E Condutos De Qualquer Natureza.	---	3.50		01/2026	12/2026	0304
03.05.00	-         	Cessão De Andaimes, Palcos, Coberturas E Outras Estruturas De Uso Temporário.	---	3.50		01/2026	12/2026	0305
04.01.01	-         	Medicina	---	2.00		01/2026	12/2026	0401
04.01.02	-         	Médico Residente	---	2.00		01/2026	12/2026	0401
04.01.03	-         	Biomedicina	---	2.00		01/2026	12/2026	0401
04.02.01	-         	Análises Clínicas, Patologia.	---	2.00		01/2026	12/2026	0402
04.02.02	-         	Técnicos Em Análises Clinicas, Eletricidade Médica, Radioterapia, Radiologia..	---	2.00		01/2026	12/2026	0402
04.02.03	-         	Eletricidade Médica	---	2.00		01/2026	12/2026	0402
04.02.04	-         	Radioterapia, Quimioterapia, Ultra-Sonografia, Ressonância Magnética, Radiologia, Tomografia E Congêneres.	---	2.00		01/2026	12/2026	0402
04.03.01	-         	Hospitais	---	2.00		01/2026	12/2026	0403
04.03.02	-         	Clínicas	---	2.00		01/2026	12/2026	0403
04.03.03	-         	Laboratórios	---	2.00		01/2026	12/2026	0403
04.03.04	-         	Sanatórios	---	2.00		01/2026	12/2026	0403
04.03.05	-         	Manicômios	---	2.00		01/2026	12/2026	0403
04.03.06	-         	Casas De Saúde	---	2.00		01/2026	12/2026	0403
04.03.07	-         	Prontos-Socorros	---	2.00		01/2026	12/2026	0403
04.03.08	-         	Ambulatórios E Congêneres....	---	2.00		01/2026	12/2026	0403
04.04.00	-         	Instrumentação Cirúrgica.	---	2.00		01/2026	12/2026	0404
04.05.00	-         	Acupuntura.	---	2.00		01/2026	12/2026	0405
04.06.01	-         	Enfermagem	---	2.00		01/2026	12/2026	0406
04.06.02	-         	Atendente De Enfermagem.	---	2.00		01/2026	12/2026	0406
04.06.03	-         	Técnico Em Enfermagem.	---	2.00		01/2026	12/2026	0406
04.06.04	-         	Outros Serviços Auxiliares.	---	2.00		01/2026	12/2026	0406
04.07.00	-         	Serviços Farmacêuticos.	---	2.00		01/2026	12/2026	0407
04.08.01	-         	Terapia Ocupacional,	---	2.00		01/2026	12/2026	0408
04.08.02	-         	Fisioterapia	---	2.00		01/2026	12/2026	0408
04.08.03	-         	Fonoaudiologia	---	2.00		01/2026	12/2026	0408
04.09.00	-         	Terapias De Qualquer Espécie Destinadas Ao Tratamento Físico, Orgânico E Mental.	---	2.00		01/2026	12/2026	0409
04.10.00	-         	Nutrição.	---	2.00		01/2026	12/2026	0410
04.11.00	-         	Obstetrícia.	---	2.00		01/2026	12/2026	0411
04.12.00	-         	Odontologia.	---	2.00		01/2026	12/2026	0412
04.13.00	-         	Ortóptica.	---	2.00		01/2026	12/2026	0413
04.14.01	-         	Prótese Dentária.	---	2.00		01/2026	12/2026	0414
04.14.02	-         	Prótese Ortopédica.	---	2.00		01/2026	12/2026	0414
04.14.03	-         	Outras Próteses.	---	2.00		01/2026	12/2026	0414
04.15.00	-         	Psicanálise.	---	2.00		01/2026	12/2026	0415
04.16.00	-         	Psicologia.	---	2.00		01/2026	12/2026	0416
04.17.01	-         	Casas De Repouso E De Recuperação E Congêneres.	---	2.00		01/2026	12/2026	0417
04.17.02	-         	Creches.	---	2.00		01/2026	12/2026	0417
04.17.03	-         	Asilos	---	2.00		01/2026	12/2026	0417
04.18.00	-         	Inseminação Artificial, Fertilização In Vitro E Congêneres.	---	2.00		01/2026	12/2026	0418
04.19.01	-         	Bancos De Sangue	---	2.00		01/2026	12/2026	0419
04.19.02	-         	Banco De Leite	---	2.00		01/2026	12/2026	0419
04.19.03	-         	Banco De Pele	---	2.00		01/2026	12/2026	0419
04.19.04	-         	Banco De Olhos	---	2.00		01/2026	12/2026	0419
04.19.05	-         	Banco De Óvulos E Sêmen	---	2.00		01/2026	12/2026	0419
04.19.06	-         	Banco De Órgãos E Materiais Biológicos De Qualquer Espécie.	---	2.00		01/2026	12/2026	0419
04.20.01	-         	Coleta De Sangue	---	2.00		01/2026	12/2026	0420
04.20.02	-         	Coleta De Leite	---	2.00		01/2026	12/2026	0420
04.20.03	-         	Coleta De Tecidos	---	2.00		01/2026	12/2026	0420
04.20.04	-         	Coleta De Óvulos E Sêmen	---	2.00		01/2026	12/2026	0420
04.20.05	-         	Coleta De Órgãos E Materiais Biológicos De Qualquer Espécie.	---	2.00		01/2026	12/2026	0420
04.21.00	-         	Unidade De Atendimento, Assistência Ou Tratamento Móvel E Congêneres.	---	2.00		01/2026	12/2026	0421
04.22.00	-         	Planos De Medicina De Grupo Ou Individual E Convênios Para Prestação De Assistência Médica, Hospitalar, Odontológica E Congêneres.	---	2.00		01/2026	12/2026	0422
